"","id","name"
"208","474892","Chris Carter"
"209","491676","Gorkys Hernández"
"210","491696","Jesús Sucre"
"211","502082","Lonnie Chisenhall"
"212","502143","Danny Valencia"
"213","516811","Eury Pérez"
"214","518792","Jason Heyward"
"215","519203","Anthony Rizzo"
"216","519346","Eric Thames"
"217","519390","Stephen Vogt"
"218","519452","Shawn Zarraga"
"219","534606","Ryan LaMarre"
"220","542340","Jonathan Villar"
"221","542908","Jett Bandy"
"222","542979","Keon Broxton"
"223","542993","Billy Burns"
"224","543459","Steve Lombardozzi Jr."
"225","543590","Kirk Nieuwenhuis"
"226","543768","Travis Shaw"
"227","546991","Albert Almora"
"228","547170","Nick Delmonico"
"229","547379","Roberto Perez"
"230","547982","Leonys Martín"
"231","570731","Jonathan Schoop"
"232","571595","Noel Cuevas"
"233","571761","Slade Heathcott"
"234","571875","Jake Lamb"
"235","572008","Chris Owings"
"236","572863","Dustin Garneau"
"237","575929","Willson Contreras"
"238","581527","Devon Travis"
"239","588751","Adeiny Hechavarria"
"240","592261","Delino DeShields"
"241","592885","Christian Yelich"
"242","593934","Miguel Sanó"
"243","594828","Evan Gattis"
"244","595281","Kevin Kiermaier"
"245","595777","Jurickson Profar"
"246","595879","Javier Báez"
"247","596059","Rougned Odor"
"248","600303","Tommy La Stella"
"249","602922","José Rondon"
"250","605244","Aramis Garcia"
"251","606115","Orlando Arcia"
"252","606132","Raimel Tapia"
"253","607333","Beau Taylor"
"254","607345","Kevan Smith"
"255","608365","Addison Russell"
"256","608577","Nomar Mazara"
"257","608597","Ronald Guzmán"
"258","613564","Jason Vosler"
"259","621433","Brett Phillips"
"260","621514","Christin Stewart"
"261","622017","Yasiel Balaguert"
"262","622196","BJ Boyd"
"263","623180","Seth Mejias-Brean"
"264","623188","Dario Pizzano"
"265","623520","David Bote"
"266","641343","Jake Bauers"
"267","641477","Ryan Cordell"
"268","641820","Trey Mancini"
"269","641958","Jordan Patterson"
"270","643524","Frank Schwindel"
"271","656185","Greg Allen"
"272","656403","Drew Ellis"
"273","656811","Ryan O'Hearn"
"274","656941","Kyle Schwarber"
"275","657129","Marcus Wilson"
"276","660688","Keibert Ruiz"
"277","664023","Ian Happ"
"278","670427","Cam Duzenack"
"279","408234","Miguel Cabrera"
"280","425784","René Rivera"
"281","430945","Adam Jones"
"282","434658","Rajai Davis"
"283","435559","Kurt Suzuki"
"284","444432","Mark Trumbo"
"285","448602","Mark Reynolds"
"286","455976","Nick Markakis"
"287","457454","Jarrod Saltalamacchia"
"288","460077","Drew Butera"
"289","467793","Carlos Santana"
"290","475247","Ryan Flaherty"
"291","502117","Kristopher Negrón"
"292","502517","Daniel Murphy"
"293","506560","Alexi Amarista"
"294","514917","César Hernández"
"295","518586","Charlie Culberson"
"296","518626","Josh Donaldson"
"297","518692","Freddie Freeman"
"298","542208","Carlos Pérez"
"299","542255","Ender Inciarte"
"300","542454","Danny Santana"
"301","542921","Tim Beckham"
