"","id","name"
"197",501957,"Chris Tillman"
"198",501985,"Mike Minor"
"199",501992,"Nate Karns"
"200",502004,"George Kontos"
"201",502011,"Preston Claiborne"
"202",502026,"Jeremy Jeffress"
"203",502028,"Blake Wood"
"204",502032,"Bud Norris"
"205",502042,"Chris Archer"
"206",502043,"Kyle Gibson"
"207",502051,"Josh Ravin"
"208",502083,"Zach McAllister"
"209",502085,"David Robertson"
"210",502130,"Dan Runzler"
"211",502143,"Danny Valencia"
"212",502154,"Zack Britton"
"213",502171,"Alex Cobb"
"214",502179,"Paolo Espino"
"215",502188,"Jeff Samardzija"
"216",502190,"Mike Leake"
"217",502202,"Brad Boxberger"
"218",502212,"Austin Bibens-Dirkx"
"219",502239,"Trevor Cahill"
"220",502304,"David Carpenter"
"221",502327,"Héctor Santiago"
"222",502381,"Luke Gregerson"
"223",502522,"Justin Miller"
"224",502593,"Jake Petricka"
"225",502624,"Chase Anderson"
"226",502706,"Derek Holland"
"227",502748,"Brad Peacock"
"228",503285,"Darren O'Day"
"229",503449,"Wily Peralta"
"230",504379,"Juan Nicasio"
"231",506433,"Yu Darvish"
"232",516472,"Francisco Arcia"
"233",516714,"Dario Alvarez"
"234",516910,"Carlos Frías"
"235",516969,"Kelvin Herrera"
"236",517008,"Alex Colomé"
"237",517414,"Randall Delgado"
"238",518397,"Scott Alexander"
"239",518418,"Phillippe Aumont"
"240",518435,"Manny Barreda"
"241",518445,"Chad Bell"
"242",518452,"Chad Bettis"
"243",518468,"Michael Blazek"
"244",518489,"Ryan Brasier"
"245",518516,"Madison Bumgarner"
"246",518553,"Steve Cishek"
"247",518566,"Taylor Cole"
"248",518582,"Casey Crosby"
"249",518586,"Charlie Culberson"
"250",518603,"Justin De Fratus"
"251",518614,"Daniel Descalso"
"252",518617,"Jake Diekman"
"253",518633,"Danny Duffy"
"254",518691,"Parker Frazier"
"255",518693,"Sam Freeman"
"256",518715,"Cory Gearrin"
"257",518748,"Justin Grimm"
"258",518774,"Matt Harvey"
"259",518782,"Johnny Hellweg"
"260",518790,"Chris Heston"
"261",518813,"Greg Holland"
"262",518852,"Eric Jokisch"
"263",518858,"Nate Jones"
"264",518875,"Shawn Kelley"
"265",518883,"Dean Kiekhefer"
"266",518886,"Craig Kimbrel"
"267",518927,"Tommy Layne"
"268",519008,"T. J. McFarland"
"269",519043,"Matt Moore"
"270",519096,"Dan Otero"
"271",519141,"Drew Pomeranz"
"272",519144,"Rick Porcello"
"273",519151,"Ryan Pressly"
"274",519166,"Neil Ramírez"
"275",519166,"Neil Ramrela"
"276",519203,"Anthony Rizzo"
"277",519222,"Austin Romine"
"278",519240,"Marc Rzepczynski"
"279",519242,"Chris Sale"
"280",519267,"Evan Scribner"
"281",519293,"Will Smith"
"282",519294,"Josh Smoker"
"283",519295,"Jake Smolinski"
"284",519296,"Forrest Snow"
"285",519301,"Sammy Solís"
"286",519326,"Hunter Strickland"
"287",519381,"Pat Venditte"
"288",519393,"Marcus Walden"
"289",519443,"Brandon Workman"
"290",519455,"Jordan Zimmermann"
"291",520980,"Pedro Báez"
"292",520980,"Alex Col�ez"
"293",521230,"Liam Hendriks"
"294",521655,"Wilmer Font"
"295",523260,"Joe Kelly"
"296",523848,"José Domínguez"
"297",525768,"Tim Collins"
"298",527048,"Martín Pérez"
"299",527054,"Julio Teheran"
"300",527055,"Arodys Vizcaíno"
"301",532077,"Roberto Osuna"
"302",533167,"Matt Shoemaker"
"303",534606,"Ryan LaMarre"
"304",534812,"Kevin Quackenbush"
"305",534910,"Jesse Hahn"
"306",541640,"Erasmo Ramírez"
"307",541640,"Erasmo Ram�drú"
"308",541650,"Hernán Pérez"
"309",541650,"Neil Ramírez"
"310",541652,"Bruce Rondón"
"311",542289,"Daniel Corcino"
"312",542432,"José Ramírez"
"313",542609,"Enrique Burgos"
"314",542669,"Roman Mendez"
"315",542881,"Tyler Anderson"
"316",542882,"Matt Andriese"
"317",542888,"Shawn Armstrong"
"318",542914,"Anthony Bass"
"319",542924,"Jeff Beliveau"
"320",542946,"Jeremy Bleich"
"321",542947,"Richard Bleier"
"322",542953,"Buddy Boshers"
"323",542960,"Brad Brach"
"324",543001,"Ryan Carpenter"
"325",543022,"Tyler Chatwood"
"326",543031,"Tyler Cloyd"
"327",543037,"Gerrit Cole"
"328",543045,"Adam Conley"
"329",543056,"Danny Coulombe"
"330",543074,"Malcom Culver"
"331",543101,"Anthony DeSclafani"
"332",543118,"Oliver Drake"
"333",543135,"Nathan Eovaldi"
"334",543144,"Danny Farquhar"
"335",543155,"Stephen Fife"
"336",543169,"Brian Flynn"
"337",543193,"Drew Gagnon"
"338",543208,"Sam Gaviglio"
"339",543219,"Sean Gilmartin"
"340",543238,"Anthony Gose"
"341",543243,"Sonny Gray"
"342",543258,"Preston Guilmet"
"343",543261,"Jason Gurka"
"344",543266,"Bradin Hagens"
"345",543272,"Brad Hand"
"346",543278,"Blaine Hardy"
"347",543280,"Bryan Harper"
"348",543294,"Kyle Hendricks"
"349",543331,"J. J. Hoover"
"350",543334,"T. J. House"
"351",543339,"Daniel Hudson"
"352",543357,"Jordan Jankowski"
"353",543359,"Dan Jennings"
"354",543391,"Casey Kelly"
"355",543408,"Tom Koehler"
"356",543424,"John Lamb"
"357",543475,"Jordan Lyles"
"358",543483,"Matt Magill"
"359",543506,"Brandon Maurer"
